# DwarfCorp profiler export
# generated_utc,2026-04-20T00:45:26.0518437Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,1000
VISIBLE CHUNKS,103
Physics Objects,33
Transforms,234
COMPONENTS,2225
ENTITIES UPDATED,234
ChunkMeshGenBatchSize,1
ChunkMeshGenWorkers,15
AI Objects,22
ChunkMeshUploadsThisFrame,0
ChunkMeshUploadsPending,0
INSTANCES DRAWN,1073

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,2978793
Render,1,2977337
GUI Mesh Gen,1,18361
Update,1,1452
Component Update,1,204
AISystem,1,170
PhysicsSystem,1,69
EnumRootLFrus,1,46
ChunkRenderer.Update,1,26
Transform Update,1,7
ChunkMeshUploadDrain,2,3

# Frame history (rolling ring buffer, oldest first)
t_seconds,fps,frame_ms
50.654,58.0,17.077
50.672,54.0,18.304
50.687,65.0,15.192
50.703,61.0,16.159
50.719,61.0,16.278
50.737,56.0,17.657
50.753,63.0,15.779
51.159,2.0,406.417
51.193,30.0,33.207
51.199,165.0,6.032
51.203,238.0,4.193
51.220,56.0,17.618
51.236,63.0,15.708
51.255,54.0,18.422
51.270,66.0,14.988
51.288,52.0,18.993
51.303,68.0,14.572
51.320,57.0,17.387
51.336,64.0,15.507
51.354,56.0,17.634
51.369,63.0,15.691
51.388,53.0,18.596
51.403,65.0,15.306
51.421,56.0,17.628
51.437,61.0,16.312
51.453,63.0,15.829
51.471,56.0,17.698
51.486,64.0,15.569
51.504,57.0,17.445
51.520,60.0,16.451
51.538,56.0,17.788
51.553,66.0,14.984
51.570,59.0,16.890
51.587,57.0,17.490
51.603,63.0,15.847
51.620,57.0,17.368
51.636,63.0,15.780
51.654,56.0,17.716
51.674,50.0,19.608
52.183,1.0,509.405
52.218,28.0,34.575
52.224,146.0,6.836
52.237,81.0,12.274
52.254,57.0,17.451
52.270,62.0,15.953
52.288,56.0,17.623
52.304,63.0,15.854
52.321,57.0,17.340
52.338,59.0,16.708
52.354,60.0,16.651
52.370,62.0,16.035
52.388,56.0,17.694
52.404,64.0,15.541
52.421,56.0,17.638
52.437,64.0,15.527
52.454,57.0,17.509
52.471,59.0,16.704
52.488,58.0,17.039
52.504,63.0,15.665
52.521,57.0,17.445
52.537,64.0,15.459
52.554,56.0,17.748
52.570,63.0,15.651
52.589,51.0,19.311
52.603,70.0,14.258
52.621,57.0,17.533
52.982,2.0,361.128
53.012,33.0,30.028
53.017,209.0,4.779
53.021,252.0,3.960
53.038,59.0,16.731
53.054,61.0,16.332
53.070,61.0,16.165
53.088,57.0,17.508
53.104,60.0,16.573
53.121,58.0,17.231
53.137,64.0,15.447
53.154,56.0,17.576
53.171,62.0,16.104
53.188,58.0,17.153
53.203,63.0,15.744
53.221,56.0,17.558
53.238,60.0,16.660
53.255,59.0,16.789
53.271,60.0,16.596
53.287,61.0,16.144
53.304,60.0,16.646
53.321,60.0,16.622
53.337,60.0,16.484
53.354,59.0,16.812
53.371,57.0,17.339
53.388,60.0,16.589
53.403,63.0,15.746
53.630,4.0,226.142
53.651,46.0,21.536
53.657,177.0,5.635
53.670,74.0,13.512
53.688,57.0,17.392
53.703,63.0,15.680
53.721,56.0,17.648
53.737,62.0,15.932
53.755,55.0,18.019
53.770,65.0,15.246
53.788,56.0,17.632
53.804,61.0,16.210
53.821,59.0,16.932
53.837,63.0,15.780
53.854,57.0,17.376
53.870,62.0,16.063
53.889,52.0,19.035
53.904,69.0,14.399
53.921,56.0,17.587
53.937,63.0,15.634
53.954,57.0,17.333
53.970,63.0,15.784
53.988,55.0,18.065
54.003,65.0,15.298
54.022,53.0,18.653
54.037,65.0,15.228
