# DwarfCorp profiler export
# generated_utc,2026-04-20T01:01:49.5923816Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,1300
VISIBLE CHUNKS,148
Physics Objects,22
Transforms,141
COMPONENTS,2781
ENTITIES UPDATED,141
ChunkMeshGenBatchSize,1
ChunkMeshGenWorkers,15
AI Objects,19
ChunkMeshUploadsThisFrame,0
ChunkMeshUploadsPending,0
INSTANCES DRAWN,1264

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,586480
Render,1,585235
Update,1,1243
GUI Mesh Gen,1,1230
AISystem,1,169
Component Update,1,115
PhysicsSystem,1,48
EnumRootLFrus,1,47
ChunkRenderer.Update,1,30
Transform Update,1,5
ChunkMeshUploadDrain,1,0

# Frame history (rolling ring buffer, oldest first)
t_seconds,fps,frame_ms
28.188,56.0,17.678
28.204,64.0,15.600
28.243,25.0,39.095
28.248,201.0,4.955
28.254,175.0,5.713
28.270,59.0,16.675
28.287,59.0,16.865
28.439,6.0,152.143
28.460,47.0,20.913
28.464,252.0,3.960
28.471,152.0,6.560
28.486,65.0,15.345
28.530,22.0,44.303
28.630,10.0,99.447
28.852,4.0,222.222
28.896,22.0,43.805
28.908,82.0,12.051
28.913,213.0,4.694
28.939,38.0,25.955
29.046,9.0,107.711
29.160,8.0,113.439
29.172,82.0,12.142
29.175,278.0,3.595
29.197,46.0,21.395
29.204,147.0,6.763
29.220,59.0,16.790
29.237,60.0,16.544
29.254,57.0,17.469
29.271,60.0,16.491
29.288,58.0,17.221
29.449,6.0,161.205
29.728,3.0,278.250
29.833,9.0,105.320
29.862,34.0,28.629
29.877,64.0,15.519
29.896,53.0,18.609
29.900,209.0,4.763
29.906,190.0,5.256
29.920,67.0,14.787
29.971,19.0,50.605
29.979,124.0,8.005
30.066,11.0,86.609
30.099,29.0,33.410
30.105,166.0,6.023
30.130,40.0,24.872
30.138,126.0,7.907
30.154,63.0,15.755
30.185,31.0,31.344
30.191,166.0,5.991
30.204,78.0,12.807
30.221,57.0,17.423
30.238,60.0,16.575
30.255,59.0,16.766
30.555,3.0,300.238
30.696,7.0,141.648
30.734,26.0,37.637
30.742,124.0,8.031
30.777,28.0,34.585
30.789,84.0,11.832
30.815,37.0,26.447
30.861,21.0,45.994
30.947,11.0,86.126
30.959,87.0,11.491
30.963,229.0,4.359
30.971,126.0,7.934
30.987,62.0,15.981
31.004,57.0,17.505
31.020,62.0,15.902
31.048,36.0,27.280
31.054,158.0,6.308
31.071,57.0,17.408
31.094,43.0,22.877
31.104,99.0,10.014
31.120,62.0,15.938
31.137,60.0,16.664
31.153,63.0,15.808
31.172,51.0,19.308
31.186,69.0,14.288
31.204,57.0,17.427
31.219,63.0,15.708
31.238,54.0,18.375
31.253,65.0,15.168
31.270,56.0,17.550
31.296,38.0,25.740
31.304,132.0,7.525
31.320,62.0,16.124
31.338,56.0,17.726
31.353,65.0,15.160
31.960,1.0,607.527
32.007,21.0,46.907
32.013,156.0,6.389
32.017,305.0,3.270
32.033,62.0,15.955
32.048,65.0,15.267
32.065,60.0,16.547
32.082,58.0,17.223
32.098,59.0,16.694
32.115,58.0,16.988
32.131,63.0,15.686
32.149,57.0,17.498
32.164,63.0,15.762
32.181,59.0,16.681
32.199,57.0,17.493
32.215,60.0,16.550
32.232,59.0,16.688
32.248,61.0,16.339
32.265,57.0,17.247
32.281,64.0,15.604
32.299,54.0,18.233
32.315,64.0,15.571
32.333,53.0,18.579
32.348,69.0,14.327
32.365,56.0,17.777
32.381,62.0,16.017
32.399,57.0,17.249
32.414,63.0,15.627
32.432,57.0,17.464
32.450,55.0,18.025
32.466,63.0,15.671
32.481,64.0,15.605
32.499,56.0,17.622
32.515,62.0,15.909
32.532,57.0,17.365
32.548,63.0,15.818
32.566,54.0,18.251
32.581,65.0,15.313
32.599,57.0,17.459
32.614,64.0,15.521
32.632,57.0,17.527
32.648,61.0,16.349
32.665,58.0,17.099
32.682,60.0,16.438
32.699,59.0,16.696
32.715,62.0,16.092
32.732,57.0,17.261
32.748,63.0,15.849
32.765,56.0,17.594
32.781,63.0,15.841
32.800,53.0,18.760
32.815,67.0,14.803
32.833,54.0,18.344
32.849,63.0,15.859
32.865,60.0,16.516
32.881,64.0,15.574
32.899,56.0,17.753
32.916,59.0,16.769
32.932,60.0,16.534
32.948,63.0,15.759
32.966,56.0,17.805
32.981,63.0,15.711
32.998,58.0,17.153
33.014,63.0,15.872
33.033,53.0,18.632
33.048,67.0,14.832
33.065,57.0,17.540
33.081,63.0,15.626
35.675,0.0,2593.831
35.715,24.0,40.150
35.722,133.0,7.499
35.729,145.0,6.881
35.747,55.0,17.911
35.765,57.0,17.324
35.779,67.0,14.880
35.796,60.0,16.527
35.815,53.0,18.785
35.829,68.0,14.667
35.847,57.0,17.421
35.863,63.0,15.722
35.880,56.0,17.677
35.896,62.0,16.022
35.913,60.0,16.480
35.931,53.0,18.601
35.946,66.0,15.015
35.964,57.0,17.525
35.980,63.0,15.793
35.997,58.0,17.102
