# DwarfCorp profiler export
# generated_utc,2026-04-19T23:28:05.0426274Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,3524
VISIBLE CHUNKS,105
Physics Objects,31
Transforms,102
COMPONENTS,1094
ENTITIES UPDATED,102
ChunkMeshGenBatchSize,2
ChunkMeshGenWorkers,15
AI Objects,24
ChunkMeshUploadsThisFrame,0
ChunkMeshUploadsPending,0
INSTANCES DRAWN,969

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,3030
Render,1,2035
Update,1,993
GUI Mesh Gen,1,690
Component Update,1,93
AISystem,1,93
PhysicsSystem,1,67
EnumRootLFrus,1,35
ChunkRenderer.Update,1,20
Transform Update,1,3
ChunkMeshUploadDrain,1,1

# Frame history (rolling ring buffer, oldest first)
t_seconds,fps,frame_ms
40.728,56.0,17.698
40.744,63.0,15.799
40.760,60.0,16.519
40.778,57.0,17.364
40.794,62.0,16.059
40.810,60.0,16.483
40.828,56.0,17.785
40.844,63.0,15.759
40.860,62.0,16.054
40.878,56.0,17.851
40.893,63.0,15.705
40.911,55.0,18.056
40.927,66.0,15.070
40.945,53.0,18.624
40.960,65.0,15.300
40.977,60.0,16.595
40.994,58.0,17.163
41.010,62.0,15.935
41.028,56.0,17.608
41.044,63.0,15.779
41.062,55.0,18.118
41.077,63.0,15.825
41.094,59.0,16.771
41.110,64.0,15.623
41.128,55.0,17.975
41.155,36.0,27.168
41.929,1.0,773.505
41.961,30.0,32.729
41.966,196.0,5.101
41.970,301.0,3.320
41.984,70.0,14.085
41.999,63.0,15.710
42.017,56.0,17.731
42.033,64.0,15.410
42.051,55.0,18.051
42.067,59.0,16.698
42.083,62.0,16.094
42.099,63.0,15.794
42.117,56.0,17.616
42.133,62.0,15.989
42.151,56.0,17.733
42.166,65.0,15.366
42.184,55.0,17.931
42.201,58.0,16.988
42.217,62.0,16.060
42.233,61.0,16.193
42.251,56.0,17.819
42.266,66.0,15.093
42.284,56.0,17.764
42.299,64.0,15.490
42.318,54.0,18.227
42.333,65.0,15.370
42.351,55.0,18.113
42.366,66.0,15.024
42.384,55.0,17.921
42.399,64.0,15.401
42.417,55.0,17.955
42.433,65.0,15.345
42.452,53.0,18.849
42.466,67.0,14.714
42.484,55.0,17.910
42.500,64.0,15.438
42.518,54.0,18.326
42.533,67.0,14.731
42.550,56.0,17.732
42.567,58.0,16.992
42.584,61.0,16.381
42.599,64.0,15.556
42.617,57.0,17.437
42.633,62.0,15.889
42.651,55.0,17.927
42.666,64.0,15.425
42.684,54.0,18.309
42.700,61.0,16.135
42.717,61.0,16.347
42.733,61.0,16.255
42.751,56.0,17.807
42.766,66.0,15.076
42.790,41.0,23.976
44.290,0.0,1500.344
44.324,29.0,34.248
44.331,158.0,6.302
44.345,72.0,13.834
44.362,56.0,17.821
44.378,62.0,16.051
44.395,59.0,16.911
44.411,63.0,15.849
44.430,54.0,18.357
44.445,65.0,15.182
44.462,57.0,17.282
44.478,62.0,15.880
44.496,56.0,17.705
44.512,61.0,16.215
44.529,59.0,16.858
44.545,62.0,16.017
44.563,54.0,18.385
44.579,63.0,15.679
44.596,59.0,16.732
44.611,64.0,15.532
44.629,54.0,18.360
44.644,66.0,15.006
44.663,55.0,18.129
44.679,61.0,16.289
44.695,60.0,16.480
44.711,62.0,15.962
44.729,54.0,18.182
44.745,65.0,15.227
44.762,56.0,17.558
44.778,62.0,16.044
44.795,59.0,16.869
44.813,55.0,17.898
44.828,67.0,14.920
44.846,55.0,17.943
44.862,64.0,15.579
44.968,9.0,106.864
45.284,3.0,316.049
45.307,45.0,22.168
45.312,179.0,5.586
45.329,60.0,16.479
45.344,63.0,15.837
45.362,57.0,17.334
45.379,57.0,17.462
45.396,59.0,16.676
45.414,55.0,18.041
45.464,19.0,50.459
45.469,217.0,4.607
45.478,107.0,9.325
45.495,62.0,16.101
45.513,54.0,18.271
45.528,66.0,15.090
45.546,56.0,17.844
45.571,39.0,25.147
45.579,126.0,7.936
45.597,56.0,17.788
45.619,45.0,21.957
45.630,87.0,11.392
45.645,65.0,15.319
45.664,53.0,18.750
45.679,68.0,14.649
45.696,56.0,17.816
45.712,64.0,15.622
45.730,55.0,17.913
45.745,65.0,15.153
45.772,37.0,26.815
45.779,143.0,6.965
45.797,56.0,17.817
45.815,56.0,17.826
46.244,2.0,429.898
46.314,14.0,69.128
46.336,44.0,22.697
46.358,45.0,22.026
46.373,67.0,14.863
46.379,174.0,5.726
46.396,57.0,17.344
46.412,62.0,16.050
46.429,59.0,16.801
46.457,36.0,27.547
46.531,13.0,74.646
46.546,69.0,14.414
46.550,240.0,4.151
46.571,47.0,20.838
46.579,122.0,8.168
46.597,56.0,17.697
46.612,63.0,15.788
46.629,58.0,17.000
46.645,63.0,15.794
46.672,37.0,26.667
46.679,148.0,6.714
46.704,38.0,25.891
46.714,101.0,9.872
46.893,5.0,178.768
47.216,3.0,322.745
47.332,8.0,116.386
47.371,25.0,38.648
47.378,144.0,6.928
47.385,143.0,6.954
47.415,33.0,29.965
47.421,166.0,5.999
47.429,120.0,8.292
47.456,37.0,26.928
47.509,18.0,53.372
47.525,63.0,15.863
47.530,210.0,4.752
47.546,60.0,16.496
47.562,63.0,15.856
47.580,55.0,18.108
47.596,63.0,15.711
47.732,7.0,136.161
47.763,32.0,30.560
47.770,139.0,7.146
47.779,113.0,8.840
47.797,55.0,18.066
47.812,65.0,15.168
47.829,58.0,17.020
47.846,58.0,17.104
47.862,63.0,15.842
48.025,6.0,162.551
48.046,47.0,21.211
48.051,186.0,5.366
48.074,43.0,22.875
48.114,25.0,39.872
48.119,181.0,5.512
48.130,93.0,10.684
48.146,62.0,15.924
48.163,60.0,16.519
48.178,64.0,15.579
48.196,55.0,18.011
48.211,66.0,15.076
48.229,56.0,17.825
48.245,64.0,15.585
48.263,55.0,17.934
48.279,61.0,16.379
48.295,62.0,15.897
48.313,55.0,18.078
48.328,65.0,15.228
48.346,55.0,17.870
48.361,65.0,15.380
48.379,55.0,18.053
48.395,62.0,16.044
48.412,60.0,16.495
48.428,62.0,16.058
48.446,54.0,18.226
48.461,66.0,15.095
48.483,46.0,21.542
49.166,1.0,683.001
49.201,28.0,35.175
49.207,165.0,6.039
49.221,72.0,13.705
49.237,60.0,16.443
49.254,58.0,16.956
49.270,61.0,16.149
49.288,56.0,17.775
49.304,62.0,15.914
49.323,53.0,18.644
49.337,68.0,14.597
49.354,58.0,17.128
49.370,62.0,15.893
49.388,55.0,17.918
49.404,64.0,15.621
49.420,60.0,16.543
49.439,52.0,18.902
49.454,69.0,14.385
49.472,55.0,18.149
49.487,65.0,15.315
49.505,55.0,18.068
49.520,66.0,15.105
49.538,55.0,17.972
49.554,62.0,16.027
49.572,55.0,18.095
49.587,67.0,14.803
49.605,55.0,17.999
50.488,1.0,882.542
50.522,29.0,34.480
50.529,158.0,6.302
50.542,73.0,13.586
50.559,58.0,17.056
50.575,61.0,16.141
50.593,56.0,17.750
50.609,63.0,15.795
50.626,58.0,16.954
50.644,56.0,17.824
50.659,63.0,15.655
50.677,56.0,17.544
50.693,63.0,15.700
50.709,61.0,16.223
50.727,55.0,17.876
50.743,62.0,16.036
50.957,4.0,214.088
50.972,64.0,15.505
50.977,212.0,4.701
50.992,65.0,15.274
51.010,56.0,17.632
51.025,65.0,15.360
51.043,55.0,18.132
51.059,65.0,15.165
51.077,53.0,18.657
51.092,68.0,14.701
51.110,55.0,18.033
51.125,64.0,15.559
51.144,53.0,18.608
51.159,67.0,14.802
51.176,58.0,17.233
51.399,4.0,222.652
51.415,62.0,16.087
51.429,71.0,13.905
51.466,27.0,37.027
51.526,16.0,60.543
51.543,61.0,16.323
51.548,181.0,5.515
51.568,49.0,20.245
51.626,17.0,57.722
51.699,13.0,72.451
51.708,103.0,9.669
51.771,16.0,62.472
51.861,11.0,89.795
51.871,94.0,10.604
51.917,21.0,45.926
51.971,18.0,53.765
51.986,65.0,15.295
51.992,168.0,5.923
52.006,72.0,13.790
52.021,67.0,14.880
52.092,14.0,70.984
52.101,112.0,8.906
52.108,127.0,7.840
52.127,52.0,18.999
52.142,69.0,14.399
52.159,57.0,17.531
52.176,58.0,17.089
52.192,62.0,15.968
52.209,59.0,16.894
52.226,59.0,16.746
52.244,56.0,17.753
52.259,67.0,14.914
52.277,56.0,17.838
52.292,64.0,15.444
52.309,58.0,17.217
52.326,58.0,17.179
52.342,62.0,16.034
52.359,60.0,16.456
52.377,55.0,18.113
52.392,65.0,15.253
52.410,56.0,17.626
52.426,62.0,15.979
52.442,60.0,16.497
52.459,61.0,16.193
52.477,54.0,18.195
52.494,59.0,16.766
52.510,59.0,16.859
52.526,65.0,15.285
52.543,56.0,17.677
52.560,60.0,16.519
52.577,59.0,16.729
53.529,1.0,952.259
53.567,26.0,37.987
53.573,155.0,6.435
53.584,90.0,10.999
53.600,63.0,15.640
53.619,52.0,18.993
53.634,68.0,14.622
53.652,54.0,18.304
53.667,66.0,14.947
53.686,51.0,19.363
53.701,68.0,14.587
53.718,57.0,17.409
53.734,64.0,15.425
53.752,53.0,18.615
53.767,68.0,14.694
53.784,58.0,17.133
53.802,55.0,18.070
53.817,69.0,14.432
53.835,55.0,18.153
53.850,64.0,15.387
53.868,54.0,18.435
53.883,67.0,14.861
53.901,55.0,18.063
53.917,65.0,15.160
53.935,52.0,18.897
53.950,69.0,14.418
53.968,55.0,17.875
53.984,62.0,15.955
54.001,58.0,17.183
54.017,64.0,15.608
54.034,58.0,17.228
54.052,53.0,18.555
54.067,70.0,14.246
54.085,55.0,18.115
54.100,64.0,15.573
54.118,56.0,17.603
54.133,63.0,15.644
54.151,55.0,17.934
54.167,64.0,15.494
54.194,37.0,26.788
55.029,1.0,835.119
55.071,23.0,42.321
55.077,169.0,5.887
55.084,144.0,6.906
55.100,64.0,15.578
55.118,55.0,18.023
55.133,64.0,15.409
55.151,55.0,17.869
55.167,63.0,15.740
55.185,53.0,18.543
55.200,66.0,15.133
55.217,58.0,16.985
55.233,63.0,15.712
55.251,55.0,18.049
55.266,65.0,15.324
55.284,55.0,18.059
55.300,64.0,15.591
55.318,53.0,18.537
55.333,68.0,14.510
55.351,54.0,18.292
55.367,64.0,15.423
55.384,58.0,17.158
55.400,62.0,15.968
55.418,55.0,17.924
55.434,62.0,16.059
55.451,58.0,17.107
55.467,64.0,15.579
55.485,54.0,18.234
55.500,66.0,15.149
55.518,55.0,17.985
55.533,66.0,15.082
55.551,55.0,17.986
55.567,61.0,16.289
55.584,58.0,16.971
56.185,1.0,601.093
56.220,28.0,34.723
56.226,164.0,6.076
56.241,68.0,14.617
56.257,61.0,16.178
56.307,19.0,50.230
56.312,195.0,5.117
56.324,83.0,11.984
56.341,58.0,17.215
56.358,61.0,16.384
56.373,63.0,15.635
56.391,55.0,17.974
56.407,65.0,15.351
56.425,55.0,17.930
56.440,63.0,15.766
56.459,55.0,18.162
56.474,66.0,14.980
56.492,55.0,17.926
56.507,64.0,15.479
56.525,56.0,17.738
56.541,63.0,15.757
56.557,59.0,16.805
56.573,62.0,15.997
56.592,53.0,18.666
56.607,68.0,14.649
56.625,55.0,18.012
56.640,64.0,15.522
56.658,55.0,17.994
56.674,64.0,15.481
56.692,54.0,18.302
56.708,63.0,15.689
56.724,60.0,16.559
56.740,62.0,15.898
56.758,55.0,18.027
56.774,63.0,15.795
56.791,57.0,17.485
56.807,65.0,15.281
56.825,54.0,18.252
56.841,61.0,16.202
56.858,59.0,16.836
58.001,0.0,1142.997
58.041,25.0,39.557
58.056,63.0,15.841
58.062,167.0,5.975
58.082,51.0,19.573
58.106,41.0,24.363
58.189,12.0,82.904
58.248,16.0,59.148
58.256,126.0,7.881
58.261,195.0,5.123
58.273,85.0,11.696
58.291,55.0,17.954
58.320,34.0,28.683
58.342,44.0,22.330
58.432,11.0,89.659
58.526,10.0,93.854
58.546,47.0,20.898
58.552,191.0,5.229
58.556,209.0,4.783
58.574,55.0,18.044
58.590,65.0,15.379
58.608,55.0,18.046
58.624,62.0,15.886
58.641,56.0,17.598
58.657,65.0,15.352
58.675,53.0,18.676
58.690,69.0,14.450
58.711,47.0,21.231
58.887,5.0,176.286
58.921,29.0,33.936
58.936,66.0,14.948
58.941,197.0,5.065
58.956,66.0,15.085
58.974,55.0,17.971
58.990,66.0,15.148
59.007,57.0,17.427
59.023,62.0,15.938
59.050,37.0,26.838
