# DwarfCorp profiler export
# generated_utc,2026-04-19T22:45:44.6036097Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,3064
VISIBLE CHUNKS,119
Physics Objects,19
Transforms,90
COMPONENTS,748
ENTITIES UPDATED,90
AI Objects,16
INSTANCES DRAWN,235

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,4199
Render,1,3228
Update,1,969
GUI Mesh Gen,1,763
AISystem,1,121
Component Update,1,117
PhysicsSystem,1,35
EnumRootLFrus,1,34
Transform Update,1,4
ChunkRenderer.Update,1,1

# Frame history (rolling ring buffer, oldest first)
t_seconds,fps,frame_ms
58.443,41.0,24.312
58.451,115.0,8.633
58.467,62.0,15.942
58.539,13.0,72.045
58.582,23.0,43.147
58.617,28.0,34.852
58.641,42.0,23.317
58.662,45.0,21.958
58.670,132.0,7.561
58.674,226.0,4.418
58.684,106.0,9.384
58.702,55.0,17.994
58.754,19.0,52.589
58.760,176.0,5.664
58.767,141.0,7.064
58.785,56.0,17.563
58.800,63.0,15.747
58.818,56.0,17.633
58.834,63.0,15.760
58.851,57.0,17.508
58.867,62.0,15.940
58.887,51.0,19.299
59.028,7.0,141.137
59.037,112.0,8.921
59.040,308.0,3.240
59.051,92.0,10.755
59.067,60.0,16.577
59.085,57.0,17.399
59.100,65.0,15.325
59.118,56.0,17.722
59.133,63.0,15.781
59.152,55.0,18.140
59.167,66.0,15.023
59.184,56.0,17.834
59.200,64.0,15.449
59.218,56.0,17.771
59.233,63.0,15.770
59.251,56.0,17.639
59.267,64.0,15.479
59.285,54.0,18.429
59.300,66.0,15.091
59.318,56.0,17.665
59.655,2.0,337.405
59.734,12.0,78.939
59.759,40.0,24.544
59.763,223.0,4.482
59.780,59.0,16.865
59.799,53.0,18.594
59.802,260.0,3.842
59.818,63.0,15.647
59.834,63.0,15.813
59.852,56.0,17.770
59.906,18.0,54.031
59.922,61.0,16.185
59.926,270.0,3.701
59.935,108.0,9.219
59.951,62.0,15.891
60.011,16.0,60.415
60.016,219.0,4.560
60.042,38.0,26.063
60.046,230.0,4.344
60.051,184.0,5.434
60.094,23.0,42.211
60.104,100.0,9.931
60.107,301.0,3.313
60.119,86.0,11.555
60.134,62.0,15.896
60.152,57.0,17.497
60.228,13.0,76.475
60.244,64.0,15.465
60.248,260.0,3.841
60.252,239.0,4.178
60.315,15.0,62.890
60.323,124.0,8.042
60.335,81.0,12.210
60.352,58.0,17.037
60.402,19.0,50.089
60.416,70.0,14.111
60.441,40.0,24.908
60.484,23.0,42.501
60.508,40.0,24.545
60.558,20.0,49.450
60.578,50.0,19.982
60.583,194.0,5.133
60.587,247.0,4.034
60.602,67.0,14.857
60.658,17.0,56.628
60.664,172.0,5.781
60.689,40.0,24.808
60.695,159.0,6.281
60.717,45.0,22.132
60.723,188.0,5.303
60.759,27.0,36.706
60.828,14.0,69.140
60.836,128.0,7.781
60.841,232.0,4.304
60.851,97.0,10.212
60.869,56.0,17.778
60.884,66.0,14.990
60.902,54.0,18.269
60.917,66.0,15.079
60.935,54.0,18.296
60.952,59.0,16.776
61.112,6.0,160.059
61.122,97.0,10.254
61.126,247.0,4.043
61.134,135.0,7.354
61.151,56.0,17.838
61.167,64.0,15.394
61.185,55.0,18.163
61.200,65.0,15.351
61.219,54.0,18.512
61.234,68.0,14.644
61.252,55.0,18.110
61.267,65.0,15.259
61.285,55.0,17.858
61.300,64.0,15.431
61.322,46.0,21.596
61.482,6.0,160.646
61.494,89.0,11.202
61.500,152.0,6.554
61.518,55.0,17.893
61.534,63.0,15.682
61.551,57.0,17.524
61.567,64.0,15.447
61.585,55.0,18.149
61.665,12.0,80.144
61.671,156.0,6.385
61.684,82.0,12.082
61.701,55.0,17.898
61.717,64.0,15.421
61.735,56.0,17.756
61.750,63.0,15.647
61.770,50.0,19.909
61.852,12.0,82.047
61.865,75.0,13.290
61.869,325.0,3.069
61.885,62.0,16.049
61.900,64.0,15.552
61.918,55.0,17.933
61.933,65.0,15.362
61.951,57.0,17.535
61.968,59.0,16.831
61.985,59.0,16.745
62.112,7.0,127.497
62.588,2.0,476.379
62.704,8.0,115.744
62.724,51.0,19.490
62.727,275.0,3.625
62.736,117.0,8.485
62.781,21.0,45.536
62.787,184.0,5.416
62.801,70.0,14.141
62.819,56.0,17.780
62.834,64.0,15.514
62.852,56.0,17.838
62.868,64.0,15.588
62.886,55.0,17.949
62.901,65.0,15.349
62.919,56.0,17.677
62.934,63.0,15.632
62.952,56.0,17.551
63.309,2.0,357.124
63.338,33.0,29.506
63.343,232.0,4.300
63.351,119.0,8.402
63.368,59.0,16.850
63.385,60.0,16.603
63.400,63.0,15.726
63.420,51.0,19.366
63.509,11.0,89.863
63.517,141.0,7.082
63.520,265.0,3.760
63.534,71.0,14.053
63.551,59.0,16.799
63.569,56.0,17.646
63.584,66.0,15.022
63.602,55.0,18.014
63.617,65.0,15.209
63.635,55.0,17.967
63.650,65.0,15.281
63.668,56.0,17.791
63.684,64.0,15.576
63.702,55.0,17.942
63.717,64.0,15.443
63.735,54.0,18.362
63.753,58.0,17.238
64.157,2.0,404.060
64.270,8.0,113.176
64.280,103.0,9.642
64.284,251.0,3.975
64.301,56.0,17.847
64.317,64.0,15.576
64.335,56.0,17.810
64.352,57.0,17.272
64.456,9.0,103.935
64.532,13.0,76.162
64.540,121.0,8.263
64.560,50.0,19.945
64.584,41.0,23.930
64.605,48.0,20.665
64.633,35.0,28.519
64.684,19.0,50.955
64.719,28.0,34.973
64.724,201.0,4.967
64.735,92.0,10.812
64.751,63.0,15.739
64.769,56.0,17.610
64.784,63.0,15.727
64.802,56.0,17.756
64.818,62.0,16.031
64.837,52.0,19.065
65.036,5.0,199.245
65.135,10.0,98.356
65.143,124.0,8.016
65.151,119.0,8.373
65.168,58.0,17.023
65.203,28.0,35.323
65.207,269.0,3.707
65.218,92.0,10.778
65.234,63.0,15.680
65.253,52.0,18.936
65.267,69.0,14.445
65.285,56.0,17.842
65.300,64.0,15.469
65.318,56.0,17.805
65.335,58.0,17.080
65.490,6.0,155.169
65.536,21.0,45.932
65.562,38.0,26.027
65.580,56.0,17.696
65.595,68.0,14.618
65.603,114.0,8.752
65.635,31.0,31.401
65.639,235.0,4.250
65.652,74.0,13.347
65.668,65.0,15.277
65.685,56.0,17.551
65.701,63.0,15.686
65.822,8.0,121.196
65.860,26.0,37.876
65.912,19.0,52.499
66.046,7.0,133.093
66.149,9.0,103.394
66.187,26.0,37.707
66.201,68.0,14.703
66.233,31.0,32.126
66.312,12.0,78.154
66.473,6.0,161.059
66.553,12.0,80.129
66.626,13.0,73.157
66.764,7.0,138.423
66.858,10.0,93.536
66.867,107.0,9.340
66.898,32.0,30.700
66.923,40.0,24.702
66.991,14.0,68.472
67.095,9.0,104.197
67.132,27.0,36.952
67.140,137.0,7.267
67.151,87.0,11.482
67.169,55.0,18.142
67.185,63.0,15.740
67.253,14.0,67.705
67.287,28.0,34.815
67.294,165.0,6.059
67.332,26.0,38.200
67.372,24.0,40.689
67.450,12.0,78.026
67.527,13.0,76.108
67.535,112.0,8.864
67.541,196.0,5.099
67.551,94.0,10.625
67.569,55.0,18.171
67.640,14.0,70.475
67.668,35.0,28.569
67.717,20.0,48.324
67.758,24.0,41.355
67.797,25.0,39.133
67.832,28.0,35.043
67.838,169.0,5.885
67.852,71.0,13.997
67.868,63.0,15.642
67.885,56.0,17.724
67.901,63.0,15.716
67.919,56.0,17.629
67.934,63.0,15.665
67.952,56.0,17.593
67.968,63.0,15.633
67.986,56.0,17.848
68.213,4.0,227.873
68.277,15.0,63.219
68.283,159.0,6.276
68.288,210.0,4.746
68.302,72.0,13.868
68.362,16.0,60.390
68.368,178.0,5.600
68.372,246.0,4.063
68.385,75.0,13.275
68.416,32.0,31.065
68.420,238.0,4.198
68.434,69.0,14.378
68.451,59.0,16.787
68.548,10.0,96.781
68.558,105.0,9.520
68.568,95.0,10.420
68.584,63.0,15.710
68.602,54.0,18.245
68.617,65.0,15.172
68.635,56.0,17.739
68.650,64.0,15.511
68.669,54.0,18.287
68.684,65.0,15.292
68.701,57.0,17.502
68.717,64.0,15.585
68.735,56.0,17.806
68.750,64.0,15.611
68.768,56.0,17.800
68.784,63.0,15.768
68.802,55.0,17.921
68.817,66.0,15.104
68.835,55.0,17.972
68.851,63.0,15.788
68.868,56.0,17.599
68.884,64.0,15.389
68.902,55.0,17.907
68.918,62.0,16.027
68.934,59.0,16.702
68.950,62.0,15.922
68.969,54.0,18.467
68.984,66.0,15.144
69.001,57.0,17.521
69.017,62.0,15.883
69.038,48.0,20.668
69.687,1.0,648.883
69.721,29.0,33.747
69.727,155.0,6.416
69.741,69.0,14.311
69.758,59.0,16.762
69.776,56.0,17.792
69.791,68.0,14.630
69.809,55.0,17.935
69.824,64.0,15.397
69.842,56.0,17.827
69.858,63.0,15.775
69.875,56.0,17.801
69.891,63.0,15.872
69.909,56.0,17.765
69.924,66.0,14.947
69.942,54.0,18.346
69.957,66.0,14.978
69.975,54.0,18.215
69.991,64.0,15.388
70.009,55.0,17.935
70.024,65.0,15.296
70.043,53.0,18.788
70.057,68.0,14.558
70.076,55.0,18.095
70.091,65.0,15.291
70.109,55.0,17.974
70.124,65.0,15.346
70.142,55.0,18.095
70.158,63.0,15.840
70.175,59.0,16.746
70.824,1.0,649.573
70.858,30.0,33.124
70.863,190.0,5.240
70.866,289.0,3.450
70.879,77.0,12.864
70.895,63.0,15.837
70.913,55.0,17.950
70.928,64.0,15.441
70.947,53.0,18.704
70.962,67.0,14.852
70.980,56.0,17.823
70.995,65.0,15.360
71.013,55.0,18.156
71.029,65.0,15.382
71.046,56.0,17.565
71.062,62.0,15.921
71.080,55.0,18.152
71.095,67.0,14.744
71.113,54.0,18.242
71.128,65.0,15.245
71.146,56.0,17.691
71.162,64.0,15.516
71.179,56.0,17.812
71.196,62.0,16.118
71.213,56.0,17.673
71.228,65.0,15.214
71.246,55.0,17.971
71.262,65.0,15.376
71.279,56.0,17.662
71.295,64.0,15.564
71.313,55.0,17.889
71.330,60.0,16.648
71.346,60.0,16.507
71.362,63.0,15.703
71.380,54.0,18.256
71.399,53.0,18.767
72.252,1.0,853.238
72.284,31.0,31.529
72.290,166.0,5.999
72.293,286.0,3.493
72.307,73.0,13.555
72.323,62.0,15.944
72.341,55.0,17.991
72.356,65.0,15.198
72.374,55.0,18.026
72.390,62.0,16.128
72.407,59.0,16.710
72.423,61.0,16.352
